"message","timestamp","unique_key"
"KBP, [01:05:08],  5","13/06/2018, 01:00:47","13/06/2018, 01:00:47180"
"DL, [01:01:00:03:04],   0","13/06/2018, 01:00:48","13/06/2018, 01:00:48181"
"DL, [01:01:00:03:03],   0","13/06/2018, 01:00:50","13/06/2018, 01:00:50182"
"DL, [01:01:00:02:01],   0","13/06/2018, 01:00:51","13/06/2018, 01:00:51183"
"DL, [01:01:00:02:04],   0","13/06/2018, 01:00:52","13/06/2018, 01:00:52184"
"DL, [01:01:01:03:04],   0","13/06/2018, 01:00:53","13/06/2018, 01:00:53185"
"KBR, [01:05:08],  5","13/06/2018, 01:00:55","13/06/2018, 01:00:55186"
"AT&F1E0F1Q1S0=1M0&C0&D0","16/05/2018, 03:02:35","16/05/2018, 03:02:350"
"AT&F1E0F1Q1S0=1M0&C0&D0","16/05/2018, 03:02:39","16/05/2018, 03:02:391"
"DL, [01:01:00:08:02],   0","06/07/2018, 07:57:03","06/07/2018, 07:57:0351"
"DL, [01:01:00:06:04],   0","06/07/2018, 07:57:04","06/07/2018, 07:57:0452"
"DL, [01:01:02:03:04],   0","06/07/2018, 07:57:05","06/07/2018, 07:57:0553"
"DL, [01:01:02:04:04],   0","06/07/2018, 07:57:06","06/07/2018, 07:57:0654"
"DL, [01:01:02:03:02],   0","06/07/2018, 07:57:07","06/07/2018, 07:57:0755"
"AT&F1E0F1Q1S0=1M0&C0&D0","18/06/2018, 12:38:55","18/06/2018, 12:38:550"
"KBP, [01:04:11],  4","07/05/2018, 03:32:54","07/05/2018, 03:32:541455"
"DL, [01:01:02:02:01], 100","07/05/2018, 03:32:55","07/05/2018, 03:32:551456"
"DL, [01:01:01:05:02], 100","07/05/2018, 03:32:56","07/05/2018, 03:32:561457"
"DL, [01:01:01:04:01], 100","07/05/2018, 03:32:57","07/05/2018, 03:32:571458"
"KBR, [01:04:11],  4","07/05/2018, 03:32:58","07/05/2018, 03:32:581459"
"KBP, [01:04:01],  4","01/06/2018, 01:26:39","01/06/2018, 01:26:391437"
"DL, [01:01:02:01:02], 100","01/06/2018, 01:26:41","01/06/2018, 01:26:411438"
"DL, [01:01:02:08:01], 100","01/06/2018, 01:26:42","01/06/2018, 01:26:421439"
"DL, [01:01:02:02:04], 100","01/06/2018, 01:26:43","01/06/2018, 01:26:431440"
"DL, [01:01:02:01:01], 100","01/06/2018, 01:26:44","01/06/2018, 01:26:441441"
"KBR, [01:04:01],  4","01/06/2018, 01:26:45","01/06/2018, 01:26:451442"
"KBP, [01:04:01], 23","01/06/2018, 01:26:47","01/06/2018, 01:26:471443"
"KBR, [01:04:01], 23","01/06/2018, 01:26:48","01/06/2018, 01:26:481444"
"DL, [01:01:02:01:02],  34","01/06/2018, 01:26:50","01/06/2018, 01:26:501445"
"DL, [01:01:02:08:01],  34","01/06/2018, 01:26:51","01/06/2018, 01:26:511446"
"DL, [01:01:02:02:04],  34","01/06/2018, 01:26:52","01/06/2018, 01:26:521447"
"DL, [01:01:02:01:01],  34","01/06/2018, 01:26:53","01/06/2018, 01:26:531448"
"KBP, [01:04:01], 24","01/06/2018, 01:26:54","01/06/2018, 01:26:541449"
"KBH, [01:04:01], 24","01/06/2018, 01:26:56","01/06/2018, 01:26:561450"
"KBR, [01:04:01], 24","01/06/2018, 01:26:57","01/06/2018, 01:26:571451"
"DL, [01:01:02:01:02],  49","01/06/2018, 01:26:58","01/06/2018, 01:26:581452"
"KBP, [01:04:17],  1","03/05/2018, 01:27:38","03/05/2018, 01:27:382811"
"DL, [01:01:02:06:03], ","03/05/2018, 01:27:39","03/05/2018, 01:27:392812"
"100","03/05/2018, 01:27:40","03/05/2018, 01:27:402813"
"DL, [01:01:02:08:03], 100","03/05/2018, 01:27:41","03/05/2018, 01:27:412814"
"DL, [01:01:02:06:04], 100","03/05/2018, 01:27:42","03/05/2018, 01:27:422815"
"KBR, [01:04:17],  1","03/05/2018, 01:27:43","03/05/2018, 01:27:432816"
"KBP, [01:04:01],  1","29/05/2018, 02:22:41","29/05/2018, 02:22:41187"
"DL, [01:01:02:01:03], 100","29/05/2018, 02:22:42","29/05/2018, 02:22:42188"
"KBR, [01:04:01],  1","29/05/2018, 02:22:43","29/05/2018, 02:22:43189"
"KBP, [01:04:01], 23","29/05/2018, 02:22:44","29/05/2018, 02:22:44190"
"KBR, [01:04:01], 23","29/05/2018, 02:22:45","29/05/2018, 02:22:45191"
"KBP, [01:04:11],  4","25/05/2018, 01:27:13","25/05/2018, 01:27:13219"
"DL, [01:01:02:02:01], 100","25/05/2018, 01:27:14","25/05/2018, 01:27:14220"
"DL, [01:01:01:05:02], 100","25/05/2018, 01:27:15","25/05/2018, 01:27:15221"
"DL, [01:01:01:04:01], 100","25/05/2018, 01:27:16","25/05/2018, 01:27:16222"
"KBR, [01:04:11],  4","25/05/2018, 01:27:17","25/05/2018, 01:27:17223"
"KBP, [01:04:11], 23","25/05/2018, 01:27:19","25/05/2018, 01:27:19224"
"DL, [01:01:01:04:01],   0","25/05/2018, 01:27:20","25/05/2018, 01:27:20225"
"KBR, [01:04:11], 23","25/05/2018, 01:27:22","25/05/2018, 01:27:22226"
"DL, [01:01:02:02:01],  11","25/05/2018, 01:27:25","25/05/2018, 01:27:25227"
"DL, [01:01:01:05:02],  11","25/05/2018, 01:27:26","25/05/2018, 01:27:26228"
"DL, [01:01:01:04:01],   0","25/05/2018, 01:27:27","25/05/2018, 01:27:27229"
"KBP, [01:04:11], 24","25/05/2018, 01:27:28","25/05/2018, 01:27:28230"
"DL, [01:01:02:03:01],   0","06/07/2018, 09:37:03","06/07/2018, 09:37:0361"
"DL, [01:01:00:03:02],   0","06/07/2018, 09:37:04","06/07/2018, 09:37:0462"
"KBP, [01:04:04],  5","02/06/2018, 01:55:36","02/06/2018, 01:55:362123"
"DL, [01:01:02:01:02],   0","02/06/2018, 01:55:38","02/06/2018, 01:55:382124"
"DL, [01:01:02:08:01],   0","02/06/2018, 01:55:39","02/06/2018, 01:55:392125"
"DL, [01:01:02:02:04],   0","02/06/2018, 01:55:40","02/06/2018, 01:55:402126"
"DL, [01:01:02:01:01],   0","02/06/2018, 01:55:41","02/06/2018, 01:55:412127"
"KBR, [01:04:04],  5","02/06/2018, 01:55:43","02/06/2018, 01:55:432128"
"KBP, [01:04:07],  5","03/05/2018, 01:16:44","03/05/2018, 01:16:442764"
"DL, [01:01:02:03:03],   0","03/05/2018, 01:16:46","03/05/2018, 01:16:462765"
"DL, [01:01:02:07:04],   0","03/05/2018, 01:16:47","03/05/2018, 01:16:472766"
"DL, [01:01:01:05:04],   0","03/05/2018, 01:16:48","03/05/2018, 01:16:482767"
"KBR, [01:04:07],  5","03/05/2018, 01:16:49","03/05/2018, 01:16:492768"
"KBP, [01:04:17],  5","26/06/2018, 07:11:24","26/06/2018, 07:11:2413"
"DL, [01:01:02:08:03],   0","26/06/2018, 07:11:25","26/06/2018, 07:11:2514"
