,Output,DateTime,Action,Location,Attribute,time0,time1,date1,Num_Week,weekday,seconds0,seconds1,Minutes,rain,temp,sun duration,cloud_amt,Floor,RoomLabel,Day_Label
0,"DL, [01:01:00:08:02], 100",2018-04-27 16:55:28,DL,[01:01:00:08:02],100.0,2018-04-27 00:00:00, 16:55:28,2018-04-27 16:00:00,17,4,16,55,1015,0.0,9.7,1.0,4.0,0.0,22.0,1
1,"DL, [01:01:02:04:01], 100",2018-04-27 16:55:29,DL,[01:01:02:04:01],100.0,2018-04-27 00:00:00, 16:55:29,2018-04-27 16:00:00,17,4,16,55,1015,0.0,9.7,1.0,4.0,0.0,22.0,1
2,"DL, [01:01:00:04:03], 100",2018-04-27 17:21:58,DL,[01:01:00:04:03],100.0,2018-04-27 00:00:00, 17:21:58,2018-04-27 17:00:00,17,4,17,21,1041,0.0,9.4,1.0,2.0,1.0,4.0,1
3,"DL, [01:01:00:02:03], 100",2018-04-27 17:22:02,DL,[01:01:00:02:03],100.0,2018-04-27 00:00:00, 17:22:02,2018-04-27 17:00:00,17,4,17,22,1042,0.0,9.4,1.0,2.0,1.0,8.0,1
4,"DL, [01:01:00:01:01], 100",2018-04-27 17:22:03,DL,[01:01:00:01:01],100.0,2018-04-27 00:00:00, 17:22:03,2018-04-27 17:00:00,17,4,17,22,1042,0.0,9.4,1.0,2.0,1.0,8.0,1
5,"DL, [01:01:01:03:02], 100",2018-04-27 17:22:04,DL,[01:01:01:03:02],100.0,2018-04-27 00:00:00, 17:22:04,2018-04-27 17:00:00,17,4,17,22,1042,0.0,9.4,1.0,2.0,1.0,8.0,1
6,"DL, [01:01:00:08:02],   0",2018-04-27 18:09:52,DL,[01:01:00:08:02],0.0,2018-04-27 00:00:00, 18:09:52,2018-04-27 18:00:00,17,4,18,9,1089,0.0,8.9,1.0,2.0,0.0,22.0,1
7,"DL, [01:01:02:04:01],   0",2018-04-27 18:09:53,DL,[01:01:02:04:01],0.0,2018-04-27 00:00:00, 18:09:53,2018-04-27 18:00:00,17,4,18,9,1089,0.0,8.9,1.0,2.0,0.0,22.0,1
8,"DL, [01:01:02:02:01], 100",2018-04-27 18:15:03,DL,[01:01:02:02:01],100.0,2018-04-27 00:00:00, 18:15:03,2018-04-27 18:00:00,17,4,18,15,1095,0.0,8.9,1.0,2.0,0.0,23.0,1
9,"DL, [01:01:01:05:02], 100",2018-04-27 18:15:04,DL,[01:01:01:05:02],100.0,2018-04-27 00:00:00, 18:15:04,2018-04-27 18:00:00,17,4,18,15,1095,0.0,8.9,1.0,2.0,0.0,23.0,1
10,"DL, [01:01:01:04:01], 100",2018-04-27 18:15:05,DL,[01:01:01:04:01],100.0,2018-04-27 00:00:00, 18:15:05,2018-04-27 18:00:00,17,4,18,15,1095,0.0,8.9,1.0,2.0,0.0,23.0,1
11,"DL, [01:01:02:02:01],   0",2018-04-27 18:36:40,DL,[01:01:02:02:01],0.0,2018-04-27 00:00:00, 18:36:40,2018-04-27 18:00:00,17,4,18,36,1116,0.0,8.9,1.0,2.0,0.0,23.0,1
12,"DL, [01:01:01:05:02],   0",2018-04-27 18:36:41,DL,[01:01:01:05:02],0.0,2018-04-27 00:00:00, 18:36:41,2018-04-27 18:00:00,17,4,18,36,1116,0.0,8.9,1.0,2.0,0.0,23.0,1
13,"DL, [01:01:01:04:01],   0",2018-04-27 18:36:42,DL,[01:01:01:04:01],0.0,2018-04-27 00:00:00, 18:36:42,2018-04-27 18:00:00,17,4,18,36,1116,0.0,8.9,1.0,2.0,0.0,23.0,1
14,"DL, [01:01:00:02:03],   0",2018-04-27 18:37:42,DL,[01:01:00:02:03],0.0,2018-04-27 00:00:00, 18:37:42,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,8.0,1
15,"DL, [01:01:00:01:01],   0",2018-04-27 18:37:43,DL,[01:01:00:01:01],0.0,2018-04-27 00:00:00, 18:37:43,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,8.0,1
16,"DL, [01:01:01:03:02],   0",2018-04-27 18:37:44,DL,[01:01:01:03:02],0.0,2018-04-27 00:00:00, 18:37:44,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,8.0,1
17,"DL, [01:01:00:03:04],   0",2018-04-27 18:37:48,DL,[01:01:00:03:04],0.0,2018-04-27 00:00:00, 18:37:48,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,16.0,1
18,"DL, [01:01:00:03:03],   0",2018-04-27 18:37:50,DL,[01:01:00:03:03],0.0,2018-04-27 00:00:00, 18:37:50,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,16.0,1
19,"DL, [01:01:00:02:01],   0",2018-04-27 18:37:51,DL,[01:01:00:02:01],0.0,2018-04-27 00:00:00, 18:37:51,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,16.0,1
20,"DL, [01:01:00:02:04],   0",2018-04-27 18:37:52,DL,[01:01:00:02:04],0.0,2018-04-27 00:00:00, 18:37:52,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,16.0,1
21,"DL, [01:01:01:03:04],   0",2018-04-27 18:37:53,DL,[01:01:01:03:04],0.0,2018-04-27 00:00:00, 18:37:53,2018-04-27 18:00:00,17,4,18,37,1117,0.0,8.9,1.0,2.0,1.0,16.0,1
22,"DL, [01:01:00:08:02], 100",2018-04-27 20:15:42,DL,[01:01:00:08:02],100.0,2018-04-27 00:00:00, 20:15:42,2018-04-27 20:00:00,17,4,20,15,1215,0.0,6.5,0.0,3.0,0.0,22.0,2
23,"DL, [01:01:02:04:01], 100",2018-04-27 20:15:43,DL,[01:01:02:04:01],100.0,2018-04-27 00:00:00, 20:15:43,2018-04-27 20:00:00,17,4,20,15,1215,0.0,6.5,0.0,3.0,0.0,22.0,2
24,"DL, [01:01:00:08:02],   0",2018-04-27 20:16:36,DL,[01:01:00:08:02],0.0,2018-04-27 00:00:00, 20:16:36,2018-04-27 20:00:00,17,4,20,16,1216,0.0,6.5,0.0,3.0,0.0,22.0,2
25,"DL, [01:01:02:04:01],   0",2018-04-27 20:16:38,DL,[01:01:02:04:01],0.0,2018-04-27 00:00:00, 20:16:38,2018-04-27 20:00:00,17,4,20,16,1216,0.0,6.5,0.0,3.0,0.0,22.0,2
26,"DL, [01:01:00:07:04], 100",2018-04-27 20:32:12,DL,[01:01:00:07:04],100.0,2018-04-27 00:00:00, 20:32:12,2018-04-27 20:00:00,17,4,20,32,1232,0.0,6.5,0.0,3.0,1.0,4.0,2
27,"DL, [01:01:01:07:04], 100",2018-04-27 20:32:13,DL,[01:01:01:07:04],100.0,2018-04-27 00:00:00, 20:32:13,2018-04-27 20:00:00,17,4,20,32,1232,0.0,6.5,0.0,3.0,1.0,4.0,2
28,"DL, [01:01:01:07:04],   0",2018-04-27 20:32:17,DL,[01:01:01:07:04],0.0,2018-04-27 00:00:00, 20:32:17,2018-04-27 20:00:00,17,4,20,32,1232,0.0,6.5,0.0,3.0,1.0,4.0,2
29,"DL, [01:01:00:04:03],  85",2018-04-27 20:32:21,DL,[01:01:00:04:03],70.0,2018-04-27 00:00:00, 20:32:21,2018-04-27 20:00:00,17,4,20,32,1232,0.0,6.5,0.0,3.0,1.0,4.0,2
30,"DL, [01:01:00:07:04],  85",2018-04-27 20:32:22,DL,[01:01:00:07:04],70.0,2018-04-27 00:00:00, 20:32:22,2018-04-27 20:00:00,17,4,20,32,1232,0.0,6.5,0.0,3.0,1.0,4.0,2
31,"DL, [01:01:01:07:04],   0",2018-04-27 20:32:24,DL,[01:01:01:07:04],0.0,2018-04-27 00:00:00, 20:32:24,2018-04-27 20:00:00,17,4,20,32,1232,0.0,6.5,0.0,3.0,1.0,4.0,2
32,"DL, [01:01:01:06:01], 100",2018-04-27 20:51:11,DL,[01:01:01:06:01],100.0,2018-04-27 00:00:00, 20:51:11,2018-04-27 20:00:00,17,4,20,51,1251,0.0,6.5,0.0,3.0,1.0,1.0,2
34,"DL, [01:01:01:06:03], 100",2018-04-27 20:51:13,DL,[01:01:01:06:03],100.0,2018-04-27 00:00:00, 20:51:13,2018-04-27 20:00:00,17,4,20,51,1251,0.0,6.5,0.0,3.0,1.0,1.0,2
35,"DL, [01:01:00:08:01], 100",2018-04-27 20:51:17,DL,[01:01:00:08:01],100.0,2018-04-27 00:00:00, 20:51:17,2018-04-27 20:00:00,17,4,20,51,1251,0.0,6.5,0.0,3.0,1.0,1.0,2
36,"DL, [01:01:01:03:03], 100",2018-04-27 20:51:18,DL,[01:01:01:03:03],100.0,2018-04-27 00:00:00, 20:51:18,2018-04-27 20:00:00,17,4,20,51,1251,0.0,6.5,0.0,3.0,1.0,1.0,2
37,"DL, [01:01:01:06:01],   0",2018-04-27 20:55:23,DL,[01:01:01:06:01],0.0,2018-04-27 00:00:00, 20:55:23,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
39,"DL, [01:01:01:06:03],   0",2018-04-27 20:55:25,DL,[01:01:01:06:03],0.0,2018-04-27 00:00:00, 20:55:25,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
40,"DL, [01:01:01:06:04],   0",2018-04-27 20:55:27,DL,[01:01:01:06:04],0.0,2018-04-27 00:00:00, 20:55:27,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
41,"DL, [01:01:00:08:01],   0",2018-04-27 20:55:28,DL,[01:01:00:08:01],0.0,2018-04-27 00:00:00, 20:55:28,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
42,"DL, [01:01:01:03:03],   0",2018-04-27 20:55:29,DL,[01:01:01:03:03],0.0,2018-04-27 00:00:00, 20:55:29,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
44,"DL, [01:01:01:06:03], 100",2018-04-27 20:55:35,DL,[01:01:01:06:03],100.0,2018-04-27 00:00:00, 20:55:35,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
45,"DL, [01:01:00:08:01], 100",2018-04-27 20:55:36,DL,[01:01:00:08:01],100.0,2018-04-27 00:00:00, 20:55:36,2018-04-27 20:00:00,17,4,20,55,1255,0.0,6.5,0.0,3.0,1.0,1.0,2
