time0,Sunrise,Sunset
04/01/2018,06:58:00,20:00:00
04/02/2018,06:56:00,20:01:00
04/03/2018,06:54:00,20:03:00
04/04/2018,06:51:00,20:05:00
04/05/2018,06:49:00,20:07:00
04/06/2018,06:46:00,20:09:00
04/07/2018,06:44:00,20:10:00
04/08/2018,06:42:00,20:12:00
04/09/2018,06:39:00,20:14:00
04/10/2018,06:37:00,20:16:00
04/11/2018,06:35:00,20:18:00
04/12/2018,06:32:00,20:19:00
04/13/2018,06:30:00,20:21:00
04/14/2018,06:28:00,20:23:00
04/15/2018,06:25:00,20:25:00
04/16/2018,06:23:00,20:27:00
04/17/2018,06:21:00,20:29:00
04/18/2018,06:19:00,20:30:00
04/19/2018,06:16:00,20:32:00
04/20/2018,06:14:00,20:34:00
04/21/2018,06:12:00,20:36:00
04/22/2018,06:10:00,20:38:00
04/23/2018,06:08:00,20:39:00
04/24/2018,06:05:00,20:41:00
04/25/2018,06:03:00,20:43:00
04/26/2018,06:01:00,20:45:00
04/27/2018,05:59:00,20:47:00
04/28/2018,05:57:00,20:48:00
04/29/2018,05:55:00,20:50:00
04/30/2018,05:53:00,20:52:00
05/01/2018,05:51:00,20:54:00
05/02/2018,05:49:00,20:56:00
05/03/2018,05:47:00,20:57:00
05/04/2018,05:45:00,20:59:00
05/05/2018,05:43:00,21:01:00
05/06/2018,05:41:00,21:03:00
05/07/2018,05:39:00,21:04:00
05/08/2018,05:37:00,21:06:00
05/09/2018,05:35:00,21:08:00
05/10/2018,05:34:00,21:09:00
05/11/2018,05:32:00,21:11:00
05/12/2018,05:30:00,21:13:00
05/13/2018,05:28:00,21:15:00
05/14/2018,05:27:00,21:16:00
05/15/2018,05:25:00,21:18:00
05/16/2018,05:23:00,21:19:00
05/17/2018,05:22:00,21:21:00
05/18/2018,05:20:00,21:23:00
05/19/2018,05:19:00,21:24:00
05/20/2018,05:17:00,21:26:00
05/21/2018,05:16:00,21:27:00
05/22/2018,05:15:00,21:29:00
05/23/2018,05:13:00,21:30:00
05/24/2018,05:12:00,21:32:00
05/25/2018,05:11:00,21:33:00
05/26/2018,05:10:00,21:35:00
05/27/2018,05:08:00,21:36:00
05/28/2018,05:07:00,21:37:00
05/29/2018,05:06:00,21:38:00
05/30/2018,05:05:00,21:40:00
05/31/2018,05:04:00,21:41:00
06/01/2018,05:03:00,21:42:00
06/02/2018,05:02:00,21:43:00
06/03/2018,05:02:00,21:44:00
06/04/2018,05:01:00,21:45:00
06/05/2018,05:00:00,21:47:00
06/06/2018,05:00:00,21:48:00
06/07/2018,04:59:00,21:48:00
06/08/2018,04:58:00,21:49:00
06/09/2018,04:58:00,21:50:00
06/10/2018,04:57:00,21:51:00
06/11/2018,04:57:00,21:52:00
06/12/2018,04:57:00,21:52:00
06/13/2018,04:56:00,21:53:00
06/14/2018,04:56:00,21:54:00
06/15/2018,04:56:00,21:54:00
06/16/2018,04:56:00,21:55:00
06/17/2018,04:56:00,21:55:00
06/18/2018,04:56:00,21:56:00
06/19/2018,04:56:00,21:56:00
06/20/2018,04:56:00,21:56:00
06/21/2018,04:56:00,21:56:00
