Location,Floor,Room,RoomLabel
[01:01:02:01:01],Ground,Back Hallway,0
[01:01:02:01:02],Ground,Back Hallway,0
[01:01:02:08:01],Ground,Back Hallway,0
[01:01:02:02:04],Ground,Back Hallway,0
[01:01:00:08:01],First Floor,Bath,1
[01:01:01:03:03],First Floor,Bath,1
[01:01:01:06:01],First Floor,Bath,1
[01:01:01:06:02] ,First Floor,Bath,1
[01:01:01:06:03],First Floor,Bath,1
[01:01:01:06:04],First Floor,Bath,1
[01:01:00:05:01],First Floor,Bed 2,2
[01:01:00:06:01],First Floor,Bed 2,2
[01:01:00:07:03],First Floor,Bed 2,2
[01:01:01:08:03],First Floor,Bed 2,2
[01:01:00:04:01],First Floor,Bed 3,3
[01:01:01:04:02],First Floor,Bed 3,3
[01:01:01:08:01],First Floor,Bed 3,3
[01:01:00:04:03],First Floor,Bed 4,4
[01:01:00:07:04],First Floor,Bed 4,4
[01:01:01:07:04],First Floor,Bed 4,4
[01:01:00:04:04],First Floor,Bed 5,5
[01:01:00:02:02],First Floor,Bed 5,5
[01:01:01:05:01],First Floor,Bed 5,5
[01:01:02:05:03],Ground,Dining,6
[01:01:02:07:01],Ground,Dining,6
[01:01:02:07:02],Ground,Dining,6
[01:01:02:08:04],Ground,Dining,6
[01:01:02:05:02],Ground,Drawing,7
[01:01:02:06:01],Ground,Drawing,7
[01:01:02:07:03],Ground,Drawing,7
[01:01:00:01:01],First Floor,Ensuite 2,8
[01:01:00:02:03],First Floor,Ensuite 2,8
[01:01:01:03:02],First Floor,Ensuite 2,8
[01:01:00:03:01],First Floor,Exterior 1st,9
[01:01:01:07:01],First Floor,Exterior 1st,9
[01:01:01:07:03],First Floor,Exterior 1st,9
[01:01:00:08:03],Ground,Exterior Grd,10
[01:01:01:01:01],Ground,Exterior Grd,10
[01:01:01:01:02],Ground,Exterior Grd,10
[01:01:01:01:03],Ground,Exterior Grd,10
[01:01:01:01:04],Ground,Exterior Grd,10
[01:01:01:02:01],Ground,Exterior Grd,10
[01:01:01:02:02],Ground,Exterior Grd,10
[01:01:01:02:03],Ground,Exterior Grd,10
[01:01:01:02:04],Ground,Exterior Grd,10
[01:01:02:04:03],Ground,Exterior Grd,10
[01:01:01:05:04],Ground,Family Room,11
[01:01:02:03:03],Ground,Family Room,11
[01:01:02:07:04],Ground,Family Room,11
[01:01:01:03:01],Ground,Guest Room,12
[01:01:02:05:01],Ground,Guest Room,12
[01:01:02:06:03],Ground,Guest Room,12
[01:01:02:06:04],Ground,Guest Room,12
[01:01:02:08:03],Ground,Guest Room,12
[01:01:00:06:04],Ground,Hall,13
[01:01:01:07:02],Ground,Hall,13
[01:01:01:08:04],Ground,Hall,13
[01:01:02:03:02],Ground,Hall,13
[01:01:02:03:04],Ground,Hall,13
[01:01:02:04:04],Ground,Hall,13
[01:01:02:03:01],Ground,Hall,13
[01:01:00:08:04],Ground,Kitchen,14
[01:01:01:05:03],Ground,Kitchen,14
[01:01:02:05:04],Ground,Kitchen,14
[01:01:02:06:02],Ground,Kitchen,14
[01:01:00:03:02],First Floor,Landing,15
[01:01:00:03:03],First Floor,Master Bath,16
[01:01:00:03:04],First Floor,Master Bath,16
[01:01:00:02:01],First Floor,Master Bath,16
[01:01:00:02:04],First Floor,Master Bath,16
[01:01:01:03:04],First Floor,Master Bath,16
[01:01:00:04:02],First Floor,Master Bed,17
[01:01:00:05:02],First Floor,Master Bed,17
[01:01:00:05:03],First Floor,Master Bed,17
[01:01:00:05:04],First Floor,Master Bed,17
[01:01:00:06:03],First Floor,Master Bed,17
[01:01:00:07:02],First Floor,Master Bed,17
[01:01:01:08:02],First Floor,Master Bed,17
[01:01:02:01:03],Ground,Painting Room,18
[01:01:00:06:02],First Floor,Snug,19
[01:01:00:07:01],First Floor,Snug,19
[01:01:02:02:02],Ground,Study,20
[01:01:02:02:03],Ground,Study,20
[01:01:00:01:04],Ground,Sun Lounge,21
[01:01:02:04:02],Ground,Sun Lounge,21
[01:01:02:08:02],Ground,Sun Lounge,21
[01:01:00:08:02],Ground,Utility,22
[01:01:02:04:01],Ground,Utility,22
[01:01:01:04:01],Ground,WC,23
[01:01:01:05:02],Ground,WC,23
[01:01:02:02:01],Ground,WC,23
