DL Zone Input,Room,RoomLabel
"DL, [01:01:00:08:01], ",Bath,1
"DL, [01:01:01:03:03], ",Bath,1
"DL, [01:01:01:06:01], ",Bath,1
"DL, [01:01:01:06:02], ",Bath,1
"DL, [01:01:01:06:03], ",Bath,1
"DL, [01:01:01:06:04], ",Bath,1
"DL, [01:01:00:05:01], ",Bed 2,2
"DL, [01:01:00:06:01], ",Bed 2,2
"DL, [01:01:00:07:03], ",Bed 2,2
"DL, [01:01:01:08:03], ",Bed 2,2
"DL, [01:01:00:04:01], ",Bed 3,3
"DL, [01:01:01:04:02], ",Bed 3,3
"DL, [01:01:01:08:01], ",Bed 3,3
"DL, [01:01:00:04:03], ",Bed 4,4
"DL, [01:01:00:07:04], ",Bed 4,4
"DL, [01:01:01:07:04], ",Bed 4,4
"DL, [01:01:00:04:04], ",Bed 5,5
"DL, [01:01:00:02:02], ",Bed 5,5
"DL, [01:01:01:05:01], ",Bed 5,5
"DL, [01:01:00:01:01], ",Ensuite 2,8
"DL, [01:01:00:02:03], ",Ensuite 2,8
"DL, [01:01:01:03:02], ",Ensuite 2,8
"DL, [01:01:00:03:01], ",Exterior 1st,9
"DL, [01:01:01:07:01], ",Exterior 1st,9
"DL, [01:01:01:07:03], ",Exterior 1st,9
"DL, [01:01:00:03:02], ",Landing,15
"DL, [01:01:00:03:03], ",Master Bath,16
"DL, [01:01:00:03:04], ",Master Bath,16
"DL, [01:01:00:02:01], ",Master Bath,16
"DL, [01:01:00:02:04], ",Master Bath,16
"DL, [01:01:01:03:04], ",Master Bath,16
"DL, [01:01:00:04:02], ",Master Bed,17
"DL, [01:01:00:05:02], ",Master Bed,17
"DL, [01:01:00:05:03], ",Master Bed,17
"DL, [01:01:00:05:04], ",Master Bed,17
"DL, [01:01:00:06:03], ",Master Bed,17
"DL, [01:01:00:07:02], ",Master Bed,17
"DL, [01:01:01:08:02], ",Master Bed,17
"DL, [01:01:00:06:02], ",Snug,19
"DL, [01:01:00:07:01], ",Snug,19
"DL, [01:01:02:01:01], ",Back Hallway,0
"DL, [01:01:02:01:02], ",Back Hallway,0
"DL, [01:01:02:08:01], ",Back Hallway,0
"DL, [01:01:02:02:04], ",Back Hallway,0
"DL, [01:01:02:05:03], ",Dining,6
"DL, [01:01:02:07:01], ",Dining,6
"DL, [01:01:02:07:02], ",Dining,6
"DL, [01:01:02:08:04], ",Dining,6
"DL, [01:01:02:05:02], ",Drawing,7
"DL, [01:01:02:06:01], ",Drawing,7
"DL, [01:01:02:07:03], ",Drawing,7
"DL, [01:01:00:08:03], ",Exterior Grd,10
"DL, [01:01:01:01:01], ",Exterior Grd,10
"DL, [01:01:01:01:02], ",Exterior Grd,10
"DL, [01:01:01:01:03], ",Exterior Grd,10
"DL, [01:01:01:01:04], ",Exterior Grd,10
"DL, [01:01:01:02:01], ",Exterior Grd,10
"DL, [01:01:01:02:02], ",Exterior Grd,10
"DL, [01:01:01:02:03], ",Exterior Grd,10
"DL, [01:01:01:02:04], ",Exterior Grd,10
"DL, [01:01:02:04:03], ",Exterior Grd,10
"DL, [01:01:01:05:04], ",Family Room,11
"DL, [01:01:02:03:03], ",Family Room,11
"DL, [01:01:02:07:04], ",Family Room,11
"DL, [01:01:01:03:01], ",Guest Room,12
"DL, [01:01:02:05:01], ",Guest Room,12
"DL, [01:01:02:06:03], ",Guest Room,12
"DL, [01:01:02:06:04], ",Guest Room,12
"DL, [01:01:02:08:03], ",Guest Room,12
"DL, [01:01:00:06:04], ",Hall,13
"DL, [01:01:01:07:02], ",Hall,13
"DL, [01:01:01:08:04], ",Hall,13
"DL, [01:01:02:03:02], ",Hall,13
"DL, [01:01:02:03:04], ",Hall,13
"DL, [01:01:02:04:04], ",Hall,13
"DL, [01:01:02:03:01], ",Hall,13
"DL, [01:01:00:08:04], ",Kitchen,14
"DL, [01:01:01:05:03], ",Kitchen,14
"DL, [01:01:02:05:04], ",Kitchen,14
"DL, [01:01:02:06:02], ",Kitchen,14
"DL, [01:01:02:01:03], ",Painting Room,18
"DL, [01:01:02:02:02], ",Study,20
"DL, [01:01:02:02:03], ",Study,20
"DL, [01:01:00:01:04], ",Sun Lounge,21
"DL, [01:01:02:04:02], ",Sun Lounge,21
"DL, [01:01:02:08:02], ",Sun Lounge,21
"DL, [01:01:00:08:02], ",Utility,22
"DL, [01:01:02:04:01], ",Utility,22
"DL, [01:01:01:04:01], ",WC,23
"DL, [01:01:01:05:02], ",WC,23
"DL, [01:01:02:02:01], ",WC,23
